문서 번호,제목,질문,위치 고유번호,조회수,질문 날짜
478149170,질문CJ 배송조회,서울강남대치세은에서 멈춰 있어요 저 토요일날 입고 가야해서 화요일에 발송돼서 계속 저기에 멈춰있어요 토요일 전까지 받을 수 있을까요 집은 수원이에요 운송장번호:599036479815,120115, 10,2024.11.21
478145572,질문뉴트로 2010...,뉴트로 2010 헌포인가요? 아님 지점마다 다른가용?,120115, 8,2024.11.21
478119468,질문강남 선릉역 성원타워 근처 싸고 좋은 주차장 있나요?,안녕하세요 매번 주차하기 귀찮아서 그런데 성원타워 주차장을 쓰기 싫어서 그런데 근처 싸거나 무료 주차장 있나요? 주차 공간이 컸으면 좋겠습니다.,120115, 19,2024.11.21
478119363,질문성원타워(선릉) 근처 무료 또는 싼 주차장 있나요 50,안녕하세요 선릉역 성원타워 근처에 싸거나 또는 무료 주차장 있나요? 성원타워 주차하기 힘들어서요 길가에 주차하면 딱인데 싸고 공간 넓으곳 알려주세요,120115, 16,2024.11.21
478115877,질문어제 압구정 상공에서 UFO를 본 것 같아요!,어제 4시 반경 압구정로데오 도산공원 근처에서 사진에서 보여지는 물체를 봤는데 드론인가요? 아님 UFO???!!! 아시는 분은 알려주세요!,120115, 23,2024.11.21
478109796,질문이 의자 파는곳 아시는분계세요?,강남보건소에서 봤어요. 아주 가볍고 편해요.,120115, 16,2024.11.19
478091663,질문대치동 독서실,밥 주는 관리형 독서실 추천 좀 해주세요. 여러개 알려주세요 러셀 시대 두각은 이미 알고 있습니다^^ 현 고2,120115, 10,2024.11.19
477933150,질문수험생 점빼는 곳,수험표 할인되고 점 잘빼는곳이 어디있을까요?? 서울도괜찮고 전라도 광주도 괜찮습니다!! 제발.. 점잘빼는곳 추천해주세요ㅠㅠ 수험생할인되는곳 저렴한곳으로요ㅠㅠ,120115, 20,2024.11.19
478089640,질문대치세정 자리 선착순인가요??,이번에 대치 세정 처음 가는데 자리는 어떻게 앉는건지 궁금합니다.. 선착순으로 앉는건가요 아니면 자리신청시스템이있는건가요???,120115, 10,2024.11.19
478072408,질문디스코팡팡 어디가 사람 제일 많나요?,팡을 좀 다니고 싶은데 사람 옶는데는 너무 부담스러워서 못가겠고 사람 주말 내내 적당하거나 점 많은 곳 ㅊㅊ 좀 인천 부천 서울 영등포 안으로,120115, 17,2024.11.19
478065243,질문강남 에스테틱 추천해주세요 ㅠ,강남에 에스테틱 마사지랑 피부 같이 받을 수 있는 곳으로 추천해주세요! 제가 일 끝나고 정기적으로 갈거라 밤 10시 넘어서 되는 곳만 갈 수 있거든요 ㅠㅠㅠ 열심히 찾아봤는데 제 눈에는 안 보이네요 밤 열시 넘어서까지도 하는 곳 있을까요? 마사지 피부 같이하니깐 2~3시간 소요된다구 가정하면 새벽까지 가능한 곳이여야할 거 같아요,120115, 27,2024.11.18
478057758,질문강남 삼성동 항상 차막히는 이유?,여기는 몇년째 도로 공사중에다가 길도 좁지도 않은데 왜 항상 차가막히나요?,120115, 29,2024.11.18
478052397,질문홍대 강남 드라마 볼 수 있는 곳,드라마를 친구랑 같이 보고 싶은데 둘 다 집은 안 돼서 서울 홍대나 강남 쪽에 드라마를 볼 수 잇는 곳 없을까요ㅠㅠ 꼭 서울 아니어도 돼요,120115, 25,2024.11.18
478050118,질문치과 찾기,20년전쯤 경남 창원시 마산회원구 합성동 경남은행 맞은편 새마을금고 2층에 있던 부부치과를 찾고 있습니다. 여선생님이 하시다가 애기 양육 문제로 남편선생님이 하셨는데 그뒤로 이전 하셨다는데 어디로 하셨는지 알 수 있을까요? 이시는분 알려주시면 감사하겠습니다.,120115, 14,2024.11.18
478037606,질문가족 모임 장소는 어디가 좋나요?,가족 모임을 하기 좋은 장소를 추천해 주세요. 상세한 답변 부탁드립니다.,120115, 26,2024.11.18
478031050,질문탑티어 성형외과...,탑티어 성형외과 6월 말 정도 쯤 쌍수를 하고싶은데  언제쯤 예약할까요? 탑티어에 온라인 상담도 있는데 라인은 수술하기전에 집어주나요? 쌍수하고 살 55kg정도 빼면 그냥 살빼고 쌍수하는게 나을까요? 지금 예약하면 언제쯤 수술가능할까요ㅠ,120115, 29,2024.11.18
478004673,질문대치 파인만 테스트 난이도,쎈C는 잘 풀수있는데 블랙라벨은 못풀거든요 에이급까진 ㄱㄴ함요 근데 많이어렵게나오나요? 초6때 보러갔다가 망했던 기억이있어서요..그때 가장 아랫반나왔었어요 간당하게 입학은 할수있었고요 중2라서 2-12-23-13-2수상 까지 테스트 볼 예정입니다..ㅠㅠ 참고로 확통 부분 다 틀릴예정이에요 인수분해도 제가 심화는 또 못해서,120115, 12,2024.11.17
477999703,질문부모현장체험학습?,이제 고3이라 현장체험 그거 쓰려고하는데 제가 대구에 사는데 청도 가는거 되나요? 아마 4~5군데 갈 거 같은데 4일치 써도 되나요? 사진은 몇장이 필요힐까요? 4일치말고 더 쓰는건 불가능하죠?,120115, 17,2024.11.17
477978438,질문역삼역 선릉역 주변 점심 단체식사 가게 추천해주세요!,역삼역과 선릉역 주변에 직장인들 단체로 점심식사 할 수 있는 가게 추천해주세요! 돼지 소와 같이 고기만 파는 곳은 일단 안 되고 되도록이면 한식당이 좋을 것 같고 단체 식사인 점 고려하여 개별적인 방에서 식사 가능한 곳이면 좋을 것 같습니다,120115, 13,2024.11.16
477974695,질문코엑스 내부 길 질문,코엑스 c홀은 아는데 c홀 하역장은 어디인가요? 3층에 있나요?,120115, 20,2024.11.16
477918543,질문부모님 보청기 추천부탁드립니다,부모님이 최근에 잘 못들으시는것 같아서 보청기를 알아보고 있는데요 평택역 근처에 보청기 잘하는곳 추천부탁드립니다,120115, 83,2024.11.15
477855016,질문중대부고 수학 많이 어려운가요?,예비 고1인데 중대부고 생각하고 있거든요.. 근데 제가 다른 과목에 비해 수학에 좀 약해서 괜찮을지 모르겠어요ㅜㅜ 중대부고 어떤가요..?,120115, 21,2024.11.15
477918039,질문대치동 컨설팅 추천,고1입니다 기말고시 끝나고 컨설팅 받을 예정인데 대치동에 있는 컨설팅 추천부탁드려요,120115, 13,2024.11.15
477903010,질문삼송역에서 서울 강남으로 택시타고 다닐때 지역할증붙나요,안녕하세요 경기도에서 택시타서 서울로 갈때 (혹은 서울 -> 경기도로 갈때) 지역 할증?이란게 붙는게 맞나요? 몇분 차이 안나는거 같은데 '삼송역->강남' 갈때 33000원이 떠서요. 혹시나 싶어서 2개 앞 역이지만 서울권인 '구파발역 ->강남' 으로 해봐도 비슷한 요금이네요. 이게 지역할증 붙은 가격인가요? 아니면 도착시간에 따라  20분대와 30분대 요금이 원래 많이 차이나는건가요? (10분대와 20분대 차이보다 더 다이나믹하게 많이 나는거 같아서요) 그리고 지역할증이 붙으면 전체요금에 20%를 더 내는건가요? 알려주세요! 감사합니다,120115, 40,2024.11.14
477900497,질문강남역 부근 8명정도 모임장소를 찾고있습니다 도와주세요,30대~50대 연령대의 게임동호회모임인데요 제가 오빠들한테 너무 많이 얻어먹은거같아 한번 사드리고싶어요 ★1번조건-가격대는 너무 쌔지도 저렴하지도않게 인당 10~15만원정도로 먹을수있게 너무 싼마이아니고 너무 고급진것도 아닌 중간을 찾기 힘든거같아서 도움을 받고싶습니다. 으르신들이 목소리가 크셔서 이왕이면 ★2번조건-룸으로된 식사공간이였으면 좋겟구요 ★3번조건-모두다 애주가이십니다. 술담배를 모두다 하시기에 담배피기 너무 멀지않고 좋은곳 이런 조건에 맞는 식사 할수있는 곳 추천부탁드릴께요 메뉴는 일식 중식 고기 생선 다 괞찬은데 한식정식 요런거는 안맞을거같습니다. 정적인분위기가아니고 다들흥이넘치십니다. 꼭 좀 도와주세요 막내가 아끼는 오라버니들 챙기고싶습니다!,120115, 12,2024.11.14
477847706,질문김승리 대기,대치 두각 김승리 대기 오늘 확인해보니까 349번짼데 언제쯤 뚫릴까요 시대인재 신청때랑 개강주에 많이 뚫린다는데…,120115, 23,2024.11.14
477892190,질문대치에 주말에만 가는 거 괜찮나요?,경기도 살고있어요. 시대인재 현강을 고 3 때 다녀보고 싶은데 매주 토요일에만 갔다 오는 거 괜찮을까요?,120115, 32,2024.11.14
477729320,질문후지노미야 역에서 모토스호 가는 법,후지노미야 역에서 모토스호 가는 법 알려주세요 계속 찾아봤는데 후지큐? 버스 타고 갈 수 있는거 같긴 하던데 경유 없이 다이렉트로 갔다오기 가능한가요? 자세히 알려주시면 감사하겠습니당 ㅜㅜ,120115, 20,2024.11.14
477874744,질문강남구 논현2동 쓰레기수거,강남구 논현2동 종량제 봉투 및 재활용 수거 일자 어떻게될까요? 집앞에 두면 수거해가는건가요? 재활용봉투도 따로 있는건가요?,120115, 22,2024.11.14
477869749,질문대치동 은행나무,은마아파트 근처 이디야 삼성대치점 앞에 있는 오래된 은행나무 지금 노랗게 물들었나요? 이번 주에 비예보가 있던데 비오면 다 떨어지려나요...,120115, 39,2024.11.14
477868353,질문서울 역삼역 근처,역삼역 근처로 지하철 1시간 이내에 그나마 저렴하게 단기원룸 구할 수 있는 지역이 어디있을까요?,120115, 24,2024.11.14
477858835,질문재개발지역 새끼 길고양이  어찌해야할까요 ?,제가 있는곳이 재개발지역이라  이사을 해야하는데  동네에 갑자기 새끼고양이가 나타 났어요 검은 새끼고양이인데 처음엔 두마리가 있다가 한마리가 없어지고 검은새끼고양이만 있어요 도망도 안가고 울기만해서 밥을 주고있는데  저도 이젠 이사준비을 해야하고 제가 키우는 반려견이4마리가 있는상황이라 데리고 올수도 없어요 그냥 나두자니 이젠 먹이주는 사람도 없고 이지역사람들은 대부분이사을 가셨기 때문에 저 아니면 밥을 줄수있는사람도 없어요 이 까만 새끼고양이을 어찌해야할까요 ? 이제 곧 이동네 밀어버릴거 같은데 ...  어찌해야할까요 ?> 도와주세요,120115, 17,2024.11.13
477847175,질문강남역안과 추천 부탁드립니다.,이제 곧 30살인데 30살 오기전에 수술 받아볼까해서요. 강남쪽 안과로 알아보는데 역 근처 안과 추천 부탁드립니다.,120115, 27,2024.11.13
477847067,질문논현역안과 방문하려고 하는데요,이번에 스마일라식이 너무 하고 싶어서 안과 찾아보다가 생각보다 강남쪽에 안과가 너무 많아서 고민하고 있었거든요 ㅠ 사무실이 논현역 근처라서 논현역안과 위주로 알아보고 있는데 다른 곳을 더 가봐야 하나 생각이 들기도 하네요..,120115, 19,2024.11.13
477845544,질문일산강남목동 국어학원 추천좀 해주세요,이 세 지역중 아무 지역이나 상관없습니다 전 자퇴생입니다 정시 대비학원 추천좀 해줘요,120115, 17,2024.11.13
477836919,질문강남 뉴트로2010 헌팅포차인가요?,,120115, 24,2024.11.13
477825646,질문강남 유앤미,강남 유앤미 부장추천좀 부탁드려요,120115, 16,2024.11.13
477794787,질문대치 시대인재 겨울방학 단과 시간표는 언제 나오나요?,대치 시대인재를 다니고싶은데요 단과 시간표는 언제 나오나요?,120115, 17,2024.11.12
477752950,질문위례 과천선에 자곡역이 빠질까요?,옛날에 자곡역 만든다고 하더니 계획노선에는 빠져있는데 무산된건가요?,120115, 60,2024.11.11
477657218,질문삼성동 트레이드타워 주차장 옆이면 어디 일까요,안녕하세요 삼성동 트레이드타워 주차장 옆이면 어디 일까요 삼성동 트레이드타워 볼일 있어서요 답변해주세요,120115, 29,2024.11.10
477711856,질문술집 등록이요,아는 지인이 등록은 외국음식 일반음식점으로 등록되어있는데 밤10시부터 양주샴페인 고급 술만파는 라이브카페같은 술집이에요 앞에나가 노래두부르고 춤두출수있고요 음식은 아예안팔고요 간판두없는곳이고요 일반음식점으로 등록하고 운영해두되나요 신고두 할수있나요 신고하면 어디다 하면되나요,120115, 18,2024.11.10
477709351,질문주민자치위원회,학교 과제로 인해 사는 곳의 주민자치위원회에서 나온 안건들과 추진 사업에 대해 조사해야합니다 강남구에 사는데 조사하려고 보니 주민자치위원회의 회의록이나 추진 사업등을 찾기가 힘들어서요 주민센터 같은 곳이나 담당 공무원분께 직접 가서 여쭈어보면 관련 자료를 받을 수 있을까요?,120115, 19,2024.11.10
477704530,질문강남 사는 친구가 검소한 건가요?,제 친구는 강남 대치동 사는데 소비하는게 일반인이예요 부모님이 생활비 지원도 안해주고 본인이 알바해서 벌어요 2만원짜리 식사도 비싸다고 해요 검소한건가요 ?,120115, 32,2024.11.10
477703779,질문13강남은~~,무엇이 유명한가요,120115, 22,2024.11.10
477684090,질문강남 잭리빈 레이스 여자게스트,혼자가려는데 혼자여도 게스트 받아줄까요 디엠해보려구용,120115, 13,2024.11.09
477682536,질문대치동 공영주차장,대치동 거주하시는 분들께 질문드려요. 대치동 학원가에 집을 알아보고 있는데요.  관심있는 집이 주차불가라고 나오네요. 부동산에서는 공영주차장 알아보라고 퉁명스럽게 얘기하고 마는데요. 공영주차장에 자리는 잘 나오나요?  공영주차장에 기존에 한번 자리잡으면 새로운 자리가 안날 것 같은데요. 타지역에 살고 있어서 대치동 분위기를 잘 몰라서요. 대치동 공영주차장 분위기를 잘 알고 계시는분 답변 부탁드려요~,120115, 10,2024.11.09
477668943,질문숙명여고 야자 있나요?,아시는 분 제발요 ㅜㅠ있으면 야자 하는 사람 많나요? 석식도 있나요?,120115, 14,2024.11.09
477606897,질문하위권 이투스247학원,제가 고1이고 최하위권 성적인데 이투스 윈터스쿨 입학할 수 있나요,120115, 23,2024.11.09
477652358,질문강남구 맛집 딱 1개만 추천한다면?,안녕하세요? 강남구 맛집 중에서 맛집 딱 1곳만 추천한다면 어떤 음식점인가요? 개인적으로 갈비 불고기처럼 고기나 먹고 힘을 낼 수 있는 음식이면 선호하지만 다른 음식 추천해주셔도 좋습니다. 그리고 코엑스/청담역에서 가까울수록 더 좋습니다. (광고 말고/꼭 진짜 가본 식당 추천바랍니다),120115, 23,2024.11.08
477570620,질문개포중학교 질문,개포중에 잘생긴사람 많나요..? 많진 않아도 있긴 한가요..?ㅠ,120115, 40,2024.11.08
477573260,질문강남 110명가능한 회식장소 빔 프로젝터있는곳 추천 좀,안녕하세요. 12월에 회사 송년회를 할 예정인데 110명 정도 인원이 모일 장소를 찾아야 하여 질문드립니다. 인원도 인원인데 송년회를 하면서 발표 등을 같이 할 예정이라 빔 프로젝터나 대형 TV같은 영상장치가 있어야 할 것 같습니다. 강남역 근처면 좋고 아니어도 강남에서 이동하기 편한 곳이면 좋을 것 같습니다. 아시는분들 많은 답글 부탁드립니다.,120115, 26,2024.11.08
477619978,질문강남 출퇴근 가능한 지역 추천,지하철 버스로 강남역 출퇴근하는데 맥스 40분으로 전세집 좀 저렴한 지역 추천 바랍니다 30대 남성입니다 전세 2-3룸 찾고있고 아파트 오피스텔 주택 상관없습니다,120115, 72,2024.11.07
477619574,질문강강술래 갈비 메뉴 추천 바랍니다,갈비 먹으러 주말에 강강술래 갈건데요 갈비 메뉴 추천바랍니다 그리고 혹시 갈비는 1인분에 다른 음식 1인분 시켜도 될까요?,120115, 16,2024.11.07
477618413,질문두각학원 기본 실력 심화 수준..?,예비 고1이고 겨울방학 때 두각에서 몰입수학 신청하려고 하는데 수준 별로 신청하게 되어있더라고요 기본 실력 심화가 각각 어느 정도 수준인지 문제집 수준에 비유해서 알려주세요,120115, 15,2024.11.07
477611336,질문한국문화 알려주세요,저 일본사람입니다. 3년전에 인스타에서 맞팔 했던 사람이 있어요.그때는 그 사람이 연애인이 있어서 그냥 인사만 했어요. 그런대 요즘은 연애인이 없는거같아서 친하게 지내고싶다고 생각했었으니까 용기내서 연락 해봤습니다! 나이가 저보다 5살 오빠니까 말 편하게 하세요 라고 말했는데 아직은 존댓말이 좀 더 편한다고 했어요!! 왜죠..? 그런 사람은 언제 반말 할거같아요?,120115, 21,2024.11.07
477599066,질문서래마을쪽 사각턱 보톡스,사각턱 보톡스 맞으려고 하는데 근처에 괜찮은데 있을까용??,120115, 17,2024.11.07
477598977,질문6009번 공항버스,,120115, 118,2024.11.07
477590231,질문강남구 빵집 추천,가격 사악한 곳 아니면 좋겠습니다. 고객응대 불친절해도 가격 괜찮으면 좋아요,120115, 18,2024.11.07
477588163,질문강남클럽 전화해서,강남 클럽에 전화해서 사람 특징 같은거 얘기하고 그런사람 있냐 물어보면 알려주나요?,120115, 18,2024.11.07
477584397,질문인천-강남,인천공항부터 강남 고속터미널까지 뭘 타고 가면 제일 빠르게 도착할까요?? 택시..버스..기차.. 알려주세요 ((일본사람입니다)),120115, 43,2024.11.07
477577274,질문강남 고터 지하상가,고터 지하상가 11월 14일 목요일 수능일때 휴무인가요?,120115, 33,2024.11.06
477576108,질문압구정로데오역 물품보관함,현제 압구정로데오역에 물품보관함 있나요? 있으면 어느 위치에 있는건가요?,120115, 79,2024.11.06
477561630,질문가격문의요,제주에서 강남까지 박스한개 가격과 소요시간문의요 접수는 언제까지 하는지도요,120115, 20,2024.11.06
477561620,질문대학교 인지도 비교,성공회대 강남 서경 수원 중부대 고양 안양대 어느순위가 제일 베스트인가요? 과는 제가 쓴 게 다 다릅니다 순서대로 알려주세요,120115, 25,2024.11.06
477558325,질문대치동 목동 말고 하나 더 뭐였죠? 학군,학군 비싼 동네 두 글자 기억이 안나요.. 갑자기 땅도 비쌌던 동네였는데 아 갑자기 기억이 안나요.. 알려주세요,120115, 35,2024.11.06
477546352,질문역 간판 색이 바뀌는 원리가 궁금합니다,평내호평역 무심히 매일 출퇴근 하는데 아침에는 파란바탕에 흰글씨인데 퇴근할때는 흰바탕에 파랑글씨에요 같은 장소 같은 입구에 있는 표지판입니다. 어떤 원리인지 답 부탁해요,120115, 39,2024.11.06
477543991,질문쥬디의 찜질방 할수있는곳 알려주세요,옛날에 했던 추억의 게임인데 간만에 하고 싶어요. 플래시게임이었던 걸로 기억해요.,120115, 38,2024.11.06
477540540,질문강남 러셀 윈터,예비고3인데 그린반으로 들어가는데요 18t가 필수던데 그러면 단과신청을 어떻게해야하나요?? ㅜㅜ 자세히 알려주세요,120115, 25,2024.11.06
477517946,질문강남차병원 초음파 검진 비용문의요,강남차병원에서 공단 건강검진하면서 상복부 여성 관련 초음파도 하려고 하는데 초음파 비용이 어느정도일까요? 일반 병원보다 차병원이 엄청 비싼지 궁금합니다,120115, 26,2024.11.05
477498650,질문강남 패디플래닝 추천,추워지니까 발 각질이랑 굳은살 엄청 생기네요 ㅠ.. 강남에 괜찮은 곳 추천해 주시면 감사하겠습니다~ 시설 깔끔하고 주차가 편했음 좋겠어요,120115, 28,2024.11.05
477406643,질문수서역 근처...,수서역 근처에 인형뽑기 있나요?,120115, 41,2024.11.04
477467105,질문강남역 부근 단체(10명) 수용 가능한 노래방 있나요?,제곧내 입니다.. 친구 10명 중 두 명이 아직 06으로 미자에요. 찾아봤을때 대형 노래방은 주점으로 분류 되어있는 곳이 더 많아서 출입이 안된다고 알고 있는데... 맞나요? 주점이 아니고 10명 출입 가능한 노래방 추천 부탁드립니다! 낑겨 들어가는게 아닌 넉넉한 공간이면 좋을것 같아요,120115, 27,2024.11.04
477455567,질문논현동 오피스텔...,논현동 오피스텔 살고 이십대 초반 여자면 거의 무슨 직업인가요?,120115, 39,2024.11.04
477450850,질문여기에 여중생들이 놀만한데가 있나요?,여기에 여중생들이 놀만한데가 있나요?,120115, 43,2024.11.03
477441227,질문강남 국제전자센터 휴무,강남 국제전자센터 11/17일 휴무인가요?,120115, 40,2024.11.03
477439422,질문서울디자인페스티벌 디자인코리아 2024 질문,하루에 저 전시 두개 다 볼 수 있을까요?? 10시부터 6시까지던데 가보신분들 혹시 규모가 하루에 저 전시 두개 다 둘러보기 괜찮은지 ㅠㅠ 답변 부탁드립니다,120115, 27,2024.11.03
477385708,질문강남 태영데시앙루브에서 서울역 최단시간에 가는 버스,안녕하세요 부산 사람입니다  서울 버스 노선을 부탁드립니다 강남 데시앙 루브에서 버스로 서울역 가는 최단시간 바로 가는 버스 안내 부탁 드려요 시간은 얼마나 걸릴까요 ? 다리가 빨리 걸을수가 없어서  지하철 타기가 어려울것 같아서요 가장 빠르게 많이 걷지 않고 한번에 갈 수 있는 방법 부탁 드려요,120115, 53,2024.11.03
477413108,질문처음으로 강남을 가봅니다!!,살면서 강남 처음갑니다. 7시간정도 시간이 있어요 강남을 가면 여기는 꼭!!! 가야하고 여긴 꼭 가서 먹어야 한다는 맛집 추전좀 해주세요!!! 많이 추천해 주시면 시간나눠서 다녀볼게요 잘부탁합니다.,120115, 49,2024.11.02
477395609,질문이사왔는데 반포동 박스,박스 버리는 요일이 언제인가요 ??,120115, 28,2024.11.02
477160259,질문강남 국립어린이집 보육교사라는데요?,국립어린이집 보육교사라고 하는분이 있는데 인천에서 새벽4시에 출근해서 오후 8시에 끝난다고 합니나. 토욜에도 출근했었는데 안 나가는 조건으로 새벽4시 출근이라고 합니다. 강남은 부자동네라 어린이집 하원후에 학부형이 집에와서 봐달라고 콜이 온다는데 진실인가요?거짓말 같은데~~자꾸 구체적인 말들을 덧붙이길래...더 궁금해집니다 미국으로 출장도 보내준다는데~ 아이가 아파서 병원에 데려가서 같이 있어준다고도 하고...당직도 있고...출장도 있다는데...지인중에 강남어린이집 쌤이 없어서 확인할바없어 질문합니다.,120115, 46,2024.11.02
477388547,질문강남역 근처 헬스장 추천,강남역 근처에 친구랑 둘이서 운동 하기 좋은 헬스장 추천 해주세요 피티 권유하거나 그런거 없는 곳으로 추천 부탁드려요,120115, 35,2024.11.02
477388428,질문강남역 근처에서 트레이너랑 여유롭게 PT 가능한 곳,사람이 적고 운동 분위기가 좋은 곳을 추천해 주세요 .,120115, 37,2024.11.02
477385760,질문강남 태영데시앙루브에서 서울역 최단시간에 가는 버스,안녕하세요 부산 사람입니다  서울 버스 노선을 부탁드립니다 강남 데시앙 루브에서 버스로 서울역 가는 최단시간 바로 가는 버스 안내 부탁 드려요 시간은 얼마나 걸릴까요 ? 다리가 빨리 걸을수가 없어서  지하철 타기가 어려울것 같아서요 가장 빠르게 많이 걷지 않고 한번에 갈 수 있는 방법 부탁 드려요,120115, 34,2024.11.02
477265243,질문강남 대하구이+스크린 술집,강남에 대하구이도 팔고 스크린도 있는 술집 없나요?ㅠㅠ 이번주 일요일에 롤드컵 보면서 먹고 싶은데 스크린 술집은 많은데 대하구이도 팔면서 스크린도 있는곳을 모르겠어요,120115, 43,2024.11.01
477357946,질문장한평역 도서관,알려주세요,120115, 32,2024.11.01
477354658,질문강남구랑 서초구랑  매우  가까운 이유가 뭐죠  ?,서초구가 원래 강남구였는데   나눠진거에요 ?,120115, 47,2024.11.01
477340096,질문삼성역 트레이드타워 출입,방문해보고 싶은 회사가 있는데 일반 출입이 가능할까요?,120115, 44,2024.11.01
477309515,질문강남 점심시간 수액 가능한 곳,직장인이라 너무 아프면 가능한 개인 시간대가 점심시간대 밖에 없고 끝나고 가기엔 이미 다 병원이 끝나 있어서 그러는데 강남에 혹시 점심시간에도 쉬지 않고 진료나 수액 가능한 병원 어디 없을까요..?,120115, 38,2024.10.31
477295615,질문대치 깊은생각 레테,중 1이고 당장 내일 대치 깊은생각에서 레벨테스트를 보는데 범위가 1학년 전범위+2-1+3-1이더라구요. 1학년건 대충 할 수 있을거같은데 2-1 심화 응용과 3-1은 모르는 상태라서 다 틀릴것같아요 !! 진도 3-1에 맞추면 레벨테스트 결과 몇레벨정도 나올까요??,120115, 39,2024.10.31
477286604,질문강남 안과총괄이사수입,강남 안과 총괄이사정도면 얼마정도버나요,120115, 122,2024.10.30
477284734,질문얼굴이 동그라미여서 스트레스에여,19살입니다 47키로이고 얼굴만살있어서 사람들이 통통한줄알고 오해 해요 어딜가나̆̈ 얼굴이 왜이리 부엇냐는소리 만듣고 사진찍을때도 저만 개 돼지처럼 나와요 그래서 사진도 찍기싫어요 2개월뒤면 성인이지만 하루빨리 윤곽주사ᩚ 맞고싶은데 부모님은 미쳤냐고 볼살그거 늙으면 귀해서 보톡스 맞는데 절대하지말라 그러는데 전 너무 제가 돼지같이 보이고 얼굴도 동그란게 스트레스에요. 아빠엄마둘다 동그랗고 할머니도 동글해요 심지어 사촌들도요. 그중에 제가 진짜 굴곡없이 찐 동그라미라 옆머리로 맨날 가리고 다녀요｡ ｡ 저희가족이 다 들어본 별명은 호 빵맨 이랑 토마스기차에요 진짜 얼굴형때매 죽ㄱ싶어요 진심으로 남친도 저한테 난 지금 얼굴” 통통“한게 좋은데 저뜻은. 얼굴 뚱뚱 하다고 남친도 생각하고있다는 뜻이자나요 아무리 살을빼려해도 얼굴살먼큼은. 뒤져도 안빠져요,120115, 38,2024.10.30
477274022,질문친자검사 하고싶은데 아내반응이,안닮거나그런건아닌데 요즘세상이 흉흉하니까 친자검사하자고 말꺼냈습니다 그러더니 아내가 한숨쉬면서 조건이있다고 뭐냐니까 친자가 나올경우 자기한테 이천만원 지급하고 이혼도하자는데 아내가 6년연애하면서 화낸적도없고 이런적도없는데 많이 화가 난걸까요 ㅠ 친자검사 안하는게 낫겠죠 막내가 창ㄴ냐 지금 아파죽겠는데 그게할소리냐 친자 아니면 내가 니한테 전재산주겠다  이래요,120115, 31,2024.10.30
477220937,질문포토이즘 그레이 연예인 사진,제가 원하는 배우는 아마 포토이즘이나 그래이에 프래임 사진을 안 찍을거같은데 이렇게 프레임 찍는 연예인 들은 포토이즘이나 그레이에서 섭외하는 건가요 추천을 받는 건가요? 연예인을 신청 할 수도 있나요?,120115, 46,2024.10.30
477221500,질문강남역 롤 틀어주는 술집,강남역에 이번주 토욜에 롤 틀어주는 술집 있을까요?? 월즈 술집에서 큰 화면으로 보고싶은데ㅠㅠ,120115, 301,2024.10.30
477266305,질문서울 집 동네,청담이나 압구정 쪽에서 직장을 다닐 거 같은데 출퇴근 30분~ 1시간 이내로 살기 괜찮은 동네가 어디일까요? 지방에서 상경하는 거라 어디로 방을 구해야 할지 모르겠어서 지식인 남깁니다ㅠ,120115, 38,2024.10.30
477254387,질문안녕하세요,도곡카운티 역삼그레이튼 104동 그 쪽에 사는 학생입니다 제가 버스를 별로 안타봐서 그런데 ㅜㅜ 혹시 숙명여고 갈때 어떤 버스를 타야하나요? 바로앞 정류장에서 학생들이 많이 타고 가던데 걷는거 포함 몇분걸리나요? 중대부고 앞쪽에서 내린다고 들었어요,120115, 37,2024.10.30
477239525,질문강남 강아지 미국 서류 준비 병원추천,서류 준비도 병원마다 금액이 너무다르더라구요 강남쪽 추천 해주실 병원 있으면 해주세요ㅠㅠ 서류준비하는거라 금액 적으로 저렴한 곳이 좋을거같아요,120115, 27,2024.10.29
477206172,질문오늘 종각역근처... 뭐 있나요?,원래 근처가 다 술집이라 시끄럽긴한데. 오늘 미쳤네요??? 시위가 있는것도 아닌데,120115, 27,2024.10.28
477199426,질문일주일 동안 강남역 근처 헬스장,일주일 동안 강남역 근처에서 이용할 수 있는 단기 등록 옵션이 있을까요?,120115, 43,2024.10.28
477184088,질문역삼역 인근 회식(회집)장소 추천부탁드립니다.,역삼역 인근에 회사가 있는데요. 대표님이 회를 드시고 싶다고 하시는데 중요한건 직원중에 날것을 못먹는분이 있습니다. ps이분이 매운것도 잘못먹습니다(신라면 매워함).. 그래서 회식장소를 찾는데 힘들더라구여 날것을 못먹는 분을 위한 메뉴가있는 회집 추천부탁드립니다.,120115, 33,2024.10.28
477177016,질문강남 상록아트홀 주변 구경할곳...,강남 상록아트홀 주변 구경할곳이나 놀거리알려주세요,120115, 43,2024.10.28
477173651,질문공항버스정유장,수서역 부근 공항버스정유장 위치?,120115, 40,2024.10.28
477172566,질문신사역 피부과 어디가 좋아요?,제가 신사역에서 직장을 다니고 있습니다. 퇴근을 하고 차가 막혀서 다른 지역으로 이동을 하기는 어렵고 근처에서 피부관리를 받고 싶은데요. 어떤 신사역 피부과가 좋을까요? 많은 월급을 받는 직장인이 아니라 가격도 합리적이고 원장 선생님이 실력이 있는 신사역 피부과면 좋을꺼 같아요. 관리 잘 받을 수 있는 신사역 피부과 추천해주세요!,120115, 174,2024.10.28
